"Sample IDs","Animal IDs","Months","Dilutions","Assay","Reaction","Threshold","reps","mean_MPR","mean_MS","mean_TtT","mean_RAF","thres_pos"
"S-1074","O-37",51,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.63189357212293,0.0881754165120904,72,0.0138888888888889,FALSE
"S-1075","1946",51,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.18252956879943,0.129258838242392,72,0.0138888888888889,FALSE
"S-1075","1946",51,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.63079132011163,0.0846113633591486,72,0.0138888888888889,FALSE
"S-1076","B-109",51,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,4.7708770261709,1.65669002594598,55.9620052403256,0.0351233214814799,FALSE
"S-1076","B-109",51,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.82369338802892,0.319650194516844,70.8989726027397,0.0141151163576181,FALSE
"S-1077","B-155",51,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.6243583082024,0.357298426189249,71.2738505747126,0.0140348524168372,FALSE
"S-1077","B-155",51,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.63171021872786,0.098390990509213,72,0.0138888888888889,FALSE
"S-1078","Y-15",63,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,5.41984890726786,1.64906980890758,64.4234144376054,0.0156629806603701,TRUE
"S-1078","Y-15",63,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,2.4924598972357,0.437862988891053,69.3174212598425,0.0144969879518072,FALSE
"S-1079","B-204",63,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.15766905358071,0.110362988743046,72,0.0138888888888889,FALSE
"S-1079","B-204",63,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,2.12788414437205,0.506636424450825,65.703311752988,0.0157570353861484,FALSE
