"Sample IDs","Dilutions","MPR","MS","TtT","RAF","Animal IDs","Months","Assay","crossed"
"S-1459",-1,1.12995594713656,0.569750666666667,72,0.0138888888888889,"1942",33,"RT-QuIC",FALSE
"S-1467",-1,7.95594713656388,3.5535976,11.1637426900585,0.0895756940806705,"1904",33,"RT-QuIC",TRUE
"S-1469",-1,10.3768736616702,7.99143466666667,5.78086419753086,0.172984516817939,"Y-15",33,"RT-QuIC",TRUE
"S-1470",-1,2.50691244239631,1.34254986666667,64.1355769230769,0.0155919701353803,"B-204",33,"RT-QuIC",TRUE
"S-1471",-1,1.11633109619687,0.557792666666667,72,0.0138888888888889,"B-206",33,"RT-QuIC",FALSE
"S-1483",-1,5.36817102137767,2.54631866666667,17.643063583815,0.0566794987304448,"B-121",36,"RT-QuIC",TRUE
"P",-3,10.8375394321767,4.25026293333333,8.40346534653465,0.11899852724595,NA,NA,"Nano-QuIC",TRUE
"S-1140",-1,2.45641838351822,0.942420133333333,19.972602739726,0.0500685871056241,"B-166",0,"Nano-QuIC",TRUE
"S-1145",-1,2.19261637239165,1.56447253333333,22.9234234234234,0.0436235016702692,"1905",0,"Nano-QuIC",TRUE
"S-1153",-1,2.62379421221865,1.06752426666667,18.2375886524823,0.0548318102274937,"Y-15",0,"Nano-QuIC",TRUE
"S-1160",-1,2.7938808373591,1.06494866666667,16.4487179487179,0.0607950116913484,"B-206",0,"Nano-QuIC",TRUE
"S-1165",-1,2.50402576489533,1.15512666666667,18.6666666666667,0.0535714285714286,"1942",0,"Nano-QuIC",TRUE
"S-1166",-1,2.58908507223114,1.085072,18.25,0.0547945205479452,"1945",0,"Nano-QuIC",TRUE
"S-1185",-1,2.4336,1.16693333333333,19.9875,0.0500312695434647,"1904",0,"Nano-QuIC",TRUE
"S-1256",-1,2.4992125984252,1.03726973333333,19.9556451612903,0.0501111335623358,"1905",12,"Nano-QuIC",TRUE
"S-1303",-1,2.36248012718601,1.00688893333333,22.9642857142857,0.0435458786936236,"1945",18,"Nano-QuIC",TRUE
"S-1306",-1,2.36908517350158,1.07255586666667,21.1529850746269,0.0472746516140413,"B-166",18,"Nano-QuIC",TRUE
"S-1314",-1,2.13809523809524,0.943915333333333,25.0755813953488,0.0398794342684906,"O-39",18,"Nano-QuIC",TRUE
"P",-3,9.72561983471074,4.27988973333333,9.82314148681055,0.101800427220018,NA,NA,"Nano-QuIC",TRUE
"S-1140",-1,2.51833333333333,1.075556,16.5,0.0606060606060606,"B-166",0,"Nano-QuIC",TRUE
"S-1145",-1,2.35725938009788,0.994018666666667,19.972972972973,0.0500676589986468,"1905",0,"Nano-QuIC",TRUE
"S-1153",-1,2.2390243902439,0.934417333333333,19.9402985074627,0.0501497005988024,"Y-15",0,"Nano-QuIC",TRUE
"S-1160",-1,2.12578616352201,0.939204,26.1306818181818,0.0382691889541205,"B-206",0,"Nano-QuIC",TRUE
"S-1165",-1,2.1640127388535,1.02760133333333,24.0869565217391,0.0415162454873646,"1942",0,"Nano-QuIC",TRUE
"S-1166",-1,2.16417910447761,0.937534666666667,24.1875,0.041343669250646,"1945",0,"Nano-QuIC",TRUE
"S-1185",-1,2.13322368421053,0.971490666666667,23.4107142857143,0.0427154843630816,"1904",0,"Nano-QuIC",TRUE
"S-1256",-1,2.08881578947368,0.901316,28.8269230769231,0.0346897931954636,"1905",12,"Nano-QuIC",TRUE
"S-1303",-1,2.07223113964687,0.875334666666667,28.625,0.0349344978165939,"1945",18,"Nano-QuIC",TRUE
"S-1306",-1,2.04833333333333,0.908889333333333,29.7142857142857,0.0336538461538462,"B-166",18,"Nano-QuIC",TRUE
"S-1314",-1,2.16252072968491,0.9087896,28.425,0.0351802990325418,"O-39",18,"Nano-QuIC",TRUE
