"Sample IDs","Treatment","Dilutions","Assay","Reaction","MPR","MS","TtT","RAF","crossed"
"pos","A",-4,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.62866449511401,0.456026666666667,96,0.0104166666666667,FALSE
"pos","B",0,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.0242214532872,0.512110933333333,96,0.0104166666666667,FALSE
"pos","B",-1,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.97058823529412,0.644257333333333,96,0.0104166666666667,FALSE
"pos","B",-2,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",4.91732283464567,0.918635066666666,63.8385416666667,0.0156645182344783,TRUE
"pos","B",-3,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.54304635761589,0.613686666666667,96,0.0104166666666667,FALSE
"pos","C",0,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",1.99170124481328,0.514522666666667,96,0.0104166666666667,FALSE
"pos","C",-1,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",3.06550218340611,0.628821333333333,51.4583333333333,0.0194331983805668,TRUE
"pos","C",-2,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",11.536231884058,4.00966186666667,77.3801369863014,0.0129232131002434,TRUE
NA,"N",-3,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.67701863354037,0.335404,96,0.0104166666666667,FALSE
"pos","A",-1,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.17808219178082,0.584474666666667,96,0.0104166666666667,FALSE
"pos","A",-2,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.96818181818182,0.842424,96,0.0104166666666667,FALSE
"pos","A",-3,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",13.2596899224806,5.18346253333333,66.5,0.0150375939849624,TRUE
"pos","A",-4,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.64820846905537,0.399565333333333,96,0.0104166666666667,FALSE
"pos","B",0,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.08791208791209,0.46398,96,0.0104166666666667,FALSE
"pos","B",-1,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.97107438016529,0.462809333333333,96,0.0104166666666667,FALSE
